datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,con_feature,cheat_feature_simple,cheat_feature_robust
1/1/2011 0:00,1,0,0,1,9.84,14.395,81,,,13,16,1,,
1/1/2011 1:00,1,0,0,1,9.02,13.635,80,,,32,40,1,,
1/1/2011 2:00,1,0,0,1,9.02,13.635,80,,,27,32,1,,
1/1/2011 3:00,1,0,0,1,9.84,14.395,75,,,10,13,1,13,
1/1/2011 4:00,1,0,0,1,,14.395,,,,1,1,1,1,1
1/1/2011 5:00,1,0,0,2,,12.88,,6.0032,,1,1,1,1,2
1/1/2011 6:00,1,0,0,1,9.02,13.635,80,,,0,2,1,2,2
1/1/2011 7:00,1,0,0,1,8.2,12.88,86,,,2,3,1,3,3
1/1/2011 8:00,1,0,0,1,9.84,14.395,75,,,7,8,1,8,8
1/1/2011 9:00,1,0,0,1,13.12,17.425,76,,,6,14,1,,6
1/1/2011 10:00,1,0,0,1,15.58,19.695,76,16.9979,,24,36,1,,24
1/1/2011 11:00,1,0,0,1,14.76,16.665,81,19.0012,,30,56,1,,
1/1/2011 12:00,1,0,0,1,17.22,21.21,77,19.0012,,55,84,1,,
1/1/2011 13:00,1,0,0,2,18.86,22.725,72,19.9995,,47,94,1,,
1/1/2011 14:00,1,0,0,2,18.86,22.725,72,19.0012,,71,106,1,,
1/1/2011 15:00,1,0,0,2,18.04,21.97,77,19.9995,,70,110,1,,
1/1/2011 16:00,1,0,0,2,17.22,21.21,82,19.9995,,52,93,1,,
1/1/2011 17:00,1,0,0,2,18.04,21.97,82,19.0012,,52,67,1,,
1/1/2011 18:00,1,0,0,3,17.22,21.21,88,16.9979,,26,35,1,,
1/1/2011 19:00,1,0,0,3,17.22,21.21,88,16.9979,,31,37,1,,31
1/1/2011 20:00,1,0,0,2,16.4,20.455,87,16.9979,,25,36,1,,25
1/1/2011 21:00,1,0,0,2,16.4,20.455,87,12.998,,31,34,1,,31
1/1/2011 22:00,1,0,0,2,16.4,20.455,94,15.0013,,17,28,1,,
1/1/2011 23:00,1,0,0,2,18.86,22.725,88,19.9995,,24,39,1,,
1/2/2011 0:00,1,0,0,2,18.86,22.725,88,19.9995,,13,17,1,,
1/2/2011 1:00,1,0,0,2,18.04,21.97,94,16.9979,,16,17,1,,
1/2/2011 2:00,1,0,0,2,17.22,21.21,100,19.0012,,8,9,1,,8
1/2/2011 3:00,1,0,0,2,18.86,22.725,94,12.998,,4,6,1,6,6
1/2/2011 4:00,1,0,0,2,18.86,22.725,,12.998,,1,3,1,3,3
1/2/2011 6:00,1,0,0,3,,21.21,77,19.9995,,2,2,1,2,34
1/2/2011 7:00,1,0,0,2,,20.455,,12.998,,1,1,1,1,1
1/2/2011 8:00,1,0,0,3,,20.455,71,15.0013,,8,8,1,8,8
1/2/2011 9:00,1,0,0,2,15.58,19.695,76,15.0013,,19,20,1,,
1/2/2011 10:00,1,0,0,2,14.76,17.425,81,15.0013,,46,53,1,,
1/2/2011 11:00,1,0,0,2,14.76,16.665,71,16.9979,,54,70,1,,
1/2/2011 12:00,1,0,0,2,14.76,16.665,66,19.9995,,73,93,1,,
1/2/2011 13:00,1,0,0,2,14.76,17.425,66,8.9981,,64,75,1,,
1/2/2011 14:00,1,0,0,3,14.76,17.425,76,12.998,,55,59,1,,
1/2/2011 15:00,1,0,0,3,13.94,16.665,81,11.0014,,55,74,1,,
1/2/2011 16:00,1,0,0,3,13.94,16.665,71,11.0014,,67,76,1,,
1/2/2011 17:00,1,0,0,1,13.94,16.665,57,12.998,,58,65,1,,
1/2/2011 18:00,1,0,0,2,14.76,16.665,46,22.0028,,43,53,1,,
1/2/2011 19:00,1,0,0,1,13.12,14.395,42,30.0026,,29,30,1,,
1/2/2011 20:00,1,0,0,1,12.3,13.635,39,23.9994,,17,22,1,,
1/2/2011 21:00,1,0,0,1,10.66,11.365,44,22.0028,,20,31,1,,
1/2/2011 22:00,1,0,0,1,,10.605,44,19.9995,,9,9,1,,
1/2/2011 23:00,1,0,0,1,,11.365,47,11.0014,,8,8,1,8,8
1/3/2011 0:00,1,0,1,1,,9.85,44,23.9994,,5,5,1,5,20
1/3/2011 1:00,1,0,1,1,,8.335,44,27.9993,,2,2,1,2,9
1/3/2011 4:00,1,0,1,1,,6.82,,26.0027,,1,1,1,1,1
1/3/2011 5:00,1,0,1,1,,6.82,47,19.0012,,3,3,1,3,3
1/3/2011 6:00,1,0,1,1,,5.305,50,26.0027,,30,30,1,,
1/3/2011 7:00,1,0,1,1,5.74,6.82,50,12.998,,63,64,1,,
1/3/2011 8:00,1,0,1,1,5.74,6.06,50,19.0012,,153,154,1,,
